sec,x1[m],v1[m/s],a1[m/s2],Force1[kgf],Force2[kgf],Fmonitor[V],Vmonitor[V],F_sim,MV1[V],x1tg[m],F1tg[kgf],v1tg[m/s],GLx1[m],GLy1[m],GHy1[m],GHy1[m],GHidariX[m],GhidariY[m],G_ab1[m],wii1-1[V],wii1-2[V],wii1-3[V],wii1-4[V],wii1-5[V],wii1-6[V],wii1-7[V],wii1-8[V],hidarite1-1[V],Hidarite1-2[V],Hidarite1-3[V],Hidarite1-4[V],GLx2[m],GLy2[m],GHy2[m],GHy2[m],GHidari2X[m],Ghidari2Y[m],G_ab2[m],wii2-1[V],wii2-2[V],wii2-3[V],wii2-4[V],wii2-5[V],wii2-6[V],wii2-7[V],wii2-8[V],hidarite2-1[V],Hidarite2-2[V],Hidarite2-3[V],Hidarite2-4[V],F1COP[kgf],x1COP[m],remoteEncoder[m],remoteForce[kgf],remoteGab[m],remoteFmoni[V]
0.252396,0,,,0.196228,0.094604,,,,,,,,,,,,,,65.23090932,,,,,,,,,,,,,,,,,,,-3.186029946,,,,,,,,,,,,,,,,,,
0.254857,0,,,0.198364,0.093079,,,,,,,,,,,,,,65.24677457,,,,,,,,,,,,,,,,,,,-3.15635324,,,,,,,,,,,,,,,,,,
0.257314,0,,,0.191956,0.09613,,,,,,,,,,,,,,65.22952892,,,,,,,,,,,,,,,,,,,-3.088409649,,,,,,,,,,,,,,,,,,
0.259841,0,,,0.197754,0.09613,,,,,,,,,,,,,,65.18064656,,,,,,,,,,,,,,,,,,,-2.969102133,,,,,,,,,,,,,,,,,,
0.262312,0,,,0.201721,0.094604,,,,,,,,,,,,,,65.11768935,,,,,,,,,,,,,,,,,,,-2.792227554,,,,,,,,,,,,,,,,,,
0.264776,0,,,0.202332,0.093384,,,,,,,,,,,,,,65.04695057,,,,,,,,,,,,,,,,,,,-2.584684284,,,,,,,,,,,,,,,,,,
0.267257,0,,,0.205078,0.093689,,,,,,,,,,,,,,64.94920208,,,,,,,,,,,,,,,,,,,-2.371262324,,,,,,,,,,,,,,,,,,
0.271383,0,,,0.204468,0.093079,,,,,,,,,,,,,,64.83054424,,,,,,,,,,,,,,,,,,,-2.147858101,,,,,,,,,,,,,,,,,,
0.273867,0,,,0.205688,0.093079,,,,,,,,,,,,,,64.71659451,,,,,,,,,,,,,,,,,,,-1.908033478,,,,,,,,,,,,,,,,,,
0.276455,0,,,0.201416,0.095215,,,,,,,,,,,,,,64.60589627,,,,,,,,,,,,,,,,,,,-1.671337614,,,,,,,,,,,,,,,,,,
0.278941,0,,,0.202637,0.093994,,,,,,,,,,,,,,64.48855301,,,,,,,,,,,,,,,,,,,-1.461093398,,,,,,,,,,,,,,,,,,
0.281401,0,,,0.207214,0.092468,,,,,,,,,,,,,,64.35766767,,,,,,,,,,,,,,,,,,,-1.298636454,,,,,,,,,,,,,,,,,,
0.283882,0,,,0.210266,0.091248,,,,,,,,,,,,,,64.23469312,,,,,,,,,,,,,,,,,,,-1.207241926,,,,,,,,,,,,,,,,,,
0.286343,0,,,0.208435,0.090942,,,,,,,,,,,,,,64.16324135,,,,,,,,,,,,,,,,,,,-1.171718123,,,,,,,,,,,,,,,,,,
0.288828,0,,,0.209656,0.090027,,,,,,,,,,,,,,64.13505539,,,,,,,,,,,,,,,,,,,-1.134333172,,,,,,,,,,,,,,,,,,
0.292763,0,,,0.209656,0.090637,,,,,,,,,,,,,,64.11561483,,,,,,,,,,,,,,,,,,,-1.082693438,,,,,,,,,,,,,,,,,,
0.295294,0,,,0.210266,0.089111,,,,,,,,,,,,,,64.1043476,,,,,,,,,,,,,,,,,,,-1.062664446,,,,,,,,,,,,,,,,,,
0.297828,0,,,0.204773,0.092773,,,,,,,,,,,,,,64.09452757,,,,,,,,,,,,,,,,,,,-1.087319679,,,,,,,,,,,,,,,,,,
0.300305,0,,,0.209351,0.089722,,,,,,,,,,,,,,64.07305281,,,,,,,,,,,,,,,,,,,-1.149296879,,,,,,,,,,,,,,,,,,
0.302759,0,,,0.211792,0.087585,,,,,,,,,,,,,,64.05206324,,,,,,,,,,,,,,,,,,,-1.241820063,,,,,,,,,,,,,,,,,,
0.305311,0,,,0.214233,0.089722,,,,,,,,,,,,,,64.03095721,,,,,,,,,,,,,,,,,,,-1.343436918,,,,,,,,,,,,,,,,,,
0.307937,0,,,0.215454,0.087891,,,,,,,,,,,,,,64.01777852,,,,,,,,,,,,,,,,,,,-1.438911285,,,,,,,,,,,,,,,,,,
0.312148,0,,,0.212402,0.088806,,,,,,,,,,,,,,64.02990445,,,,,,,,,,,,,,,,,,,-1.527696302,,,,,,,,,,,,,,,,,,
0.314658,0,,,0.214844,0.088196,,,,,,,,,,,,,,64.01762658,,,,,,,,,,,,,,,,,,,-1.613553418,,,,,,,,,,,,,,,,,,
0.317145,0,,,0.20874,0.091553,,,,,,,,,,,,,,63.91370929,,,,,,,,,,,,,,,,,,,-1.685452699,,,,,,,,,,,,,,,,,,
0.319599,0,,,0.212402,0.089722,,,,,,,,,,,,,,63.70261767,,,,,,,,,,,,,,,,,,,-1.734195991,,,,,,,,,,,,,,,,,,
0.32206,0,,,0.216064,0.089417,,,,,,,,,,,,,,63.41311534,,,,,,,,,,,,,,,,,,,-1.769877449,,,,,,,,,,,,,,,,,,
0.324515,0,,,0.220032,0.088806,,,,,,,,,,,,,,63.13121485,,,,,,,,,,,,,,,,,,,-1.801252848,,,,,,,,,,,,,,,,,,
